date,income
01-01-05,8760
01-02-05,8280
01-03-05,8650
01-04-05,8800
01-05-05,9130
01-06-05,9130
01-07-05,9140
01-08-05,9160
01-09-05,9290
01-10-05,9240
01-11-05,9300
01-12-05,9280
01-01-06,8520
01-02-06,8100
01-03-06,8970
01-04-06,9190
01-05-06,9340
01-06-06,9340
01-07-06,9350
01-08-06,9190
01-09-06,9490
01-10-06,9360
01-11-06,9500
01-12-06,9520
01-01-07,8890
01-02-07,8320
01-03-07,9370
01-04-07,9660
01-05-07,10060
01-06-07,10040
01-07-07,9900
01-08-07,10120
01-09-07,10060
01-10-07,10820
01-11-07,10650
01-12-07,10650
01-01-08,9560
01-02-08,9130
01-03-08,9810
01-04-08,10060
01-05-08,10250
01-06-08,10230
01-07-08,10190
01-08-08,10140
01-09-08,10350
01-10-08,10310
01-11-08,10140
01-12-08,10040
01-01-09,9310
01-02-09,8780
01-03-09,9530
01-04-09,9790
01-05-09,9950
01-06-09,9900
01-07-09,9970
01-08-09,9980
01-09-09,10160
01-10-09,10220
01-11-09,10190
01-12-09,10020
01-01-10,9310
01-02-10,8970
01-03-10,9700
01-04-10,9910
01-05-10,10120
01-06-10,10220
01-07-10,10130
01-08-10,10200
01-09-10,10330
01-10-10,10340
01-11-10,10330
01-12-10,9850
01-01-11,8860
01-02-11,8890
01-03-11,9640
01-04-11,10060
01-05-11,10210
01-06-11,10330
01-07-11,9900
01-08-11,9880
01-09-11,10050
01-10-11,10060
01-11-11,10050
01-12-11,9990
01-01-12,8930
01-02-12,8580
01-03-12,9140
01-04-12,9590
01-05-12,9690
01-06-12,9700
01-07-12,9610
01-08-12,9570
01-09-12,9770
01-10-12,9830
01-11-12,9840
01-12-12,9710
01-01-13,8710
01-02-13,8300
01-03-13,8910
01-04-13,9710
01-05-13,9870
01-06-13,9980
01-07-13,9970
01-08-13,9970
01-09-13,10120
01-10-13,10150
01-11-13,10110
01-12-13,9970
01-01-14,8930
01-02-14,9020
01-03-14,9200
01-04-14,10090
01-05-14,10260
01-06-14,10330
01-07-14,10360
01-08-14,10350
01-09-14,10560
01-10-14,10600
01-11-14,10660
01-12-14,10580
01-01-15,9420
01-02-15,9770
01-03-15,9680
01-04-15,10400
01-05-15,10560
01-06-15,10600
01-07-15,10560
01-08-15,10550
01-09-15,10790
01-10-15,10810
01-11-15,10780
01-12-15,10710
01-01-16,9060
01-02-16,9610
01-03-16,9770
01-04-16,10340
01-05-16,10480
01-06-16,10180
01-07-16,10390
01-08-16,10400
01-09-16,10590
01-10-16,10600
01-11-16,10580
01-12-16,10300
01-01-17,8800
01-02-17,9360
01-03-17,9650
01-04-17,10280
01-05-17,10410
01-06-17,10240
01-07-17,10380
01-08-17,10390
01-09-17,10580
01-10-17,10560
01-11-17,10570
01-12-17,10240
01-01-18,8720
01-02-18,9340
01-03-18,9650
01-04-18,10480
01-05-18,10630
01-06-18,10490
01-07-18,10550
01-08-18,10540
01-09-18,10720
01-10-18,10700
01-11-18,10750
01-12-18,10540
01-01-19,9030
01-02-19,9620
01-03-19,10050
01-04-19,10610
01-05-19,10760
01-06-19,10570
01-07-19,10730
01-08-19,10660
01-09-19,10900
01-10-19,11020
01-11-19,10940
01-12-19,10770
01-01-20,9340
01-02-20,9900
01-03-20,10360
01-04-20,10950
01-05-20,11120
01-06-20,10990
01-07-20,10980
01-08-20,11010
01-09-20,11250
01-10-20,11290
01-11-20,11310
01-12-20,11000
